HID,HOTEL,PRICE_RUPEES,NUMBER_OF_REVIEWS,Lat,Lng
HID71,ALL SEASONS HOMESTAY JAIPUR,1722.93,648,26.9161831,75.7963812
HID72,ROYAL ORCHID CENTRAL JAIPUR,1872.75,1107,26.9247407,75.7936217
HID73,SHAKUN HOTELS AND RESORTS JAIPUR,2921.49,285,26.910814,75.8019579
HID74,ROYAL HERITAGE HAVELI JAIPUR,8689.56,700,26.9252792,75.7457239
HID75,MILESTONE 251 JAIPUR,1123.65,259,26.9267165,75.7898049
HID76,HARI MAHAL PALACE JAIPUR,2172.39,255,26.9106698,75.789367
HID77,HOTEL PEARL PALACE JAIPUR,2546.94,2333,26.9162153,75.7956004
HID78,KRISHNA PALACE JAIPUR,749.1,658,26.9277706,75.786476
HID79,HOTEL YASH REGENCY JAIPUR,2022.57,115,26.9230839,75.7467762
HID80,NAHARGARH HAVELI JAIPUR,2022.57,2137,26.9146455,75.7925911
HID81,SOUVENIR PEPPERMINT HOTEL JAIPUR,7116.45,454,26.9400988,75.79529025
HID82,NARAIN NIWAS PALACE JAIPUR,5468.43,690,26.8982188,75.813938
HID83,HOTEL RANGOLI JAIPUR,898.92,14,26.9165043,75.8107679
HID84,"FOUR POINTS BY SHERATON JAIPUR, CITY SQUARE JAIPUR",2172.39,2633,26.8646857,75.7960927
HID85,HOTEL H R PALACE JAIPUR,898.92,481,26.9252909,75.7904205
HID86,CHOKHI DHANI RESORT JAIPUR,973.83,1144,26.7674854,75.8362399
HID87,SAJJAN NIWAS JAIPUR,1573.11,339,26.928346,75.792566
HID88,RAMADA BY WYNDHAM JAIPUR JAISINGHPURA JAIPUR,3895.32,970,26.8252613,75.6979265
HID89,FLUTE BOUTIQUE HOTEL JAIPUR,1797.84,312,26.9121913,75.7941699
HID90,HOTEL REEVE INN JAIPUR,749.1,20,26.925094,75.790595
HID91,5 BY OYO METROPOLITAN JAIPUR,4719.33,1857,26.9025631,75.7936779
HID92,INDANA PALACE JAIPUR,5543.34,600,27.0150554,75.8814214
HID93,REGENTA CENTRAL JAIPUR,1722.93,397,26.95061045,75.79615625
HID94,THE OBEROI RAJVILAS JAIPUR,20375.52,2000,26.8759401,75.8837593
HID95,THE TREE HOUSE RESORT JAIPUR,13933.26,972,27.0349303,75.8710011
HID96,CROWNE PLAZA JAIPUR TONK ROAD JAIPUR,3146.22,927,26.7793728,75.8280431
HID97,HOTEL CHITRAKATHA JAIPUR,898.92,469,26.9163549,75.7959152
HID98,SURYAA VILLA JAIPUR,2546.94,193,26.9006218,75.821393
HID99,ALSISAR HAVELI JAIPUR,3970.23,1334,26.9228227,75.8053469
HID100,THE WALL STREET BUSINESS HOTEL JAIPUR,1722.93,347,26.9176807,75.8116302
HID101,BLUE BEDS JAIPUR,1348.38,184,26.9024769,75.79427
HID102,KK ROYAL HOTEL & CONVENTION CENTER JAIPUR,3370.95,745,26.9901831,75.8649365
HID103,NIRWANA HOMETEL JAIPUR A SAROVAR HOTEL JAIPUR,2022.57,449,26.9211704,75.794891
HID104,MOUSTACHE HOSTEL JAIPUR ,973.83,678,26.9195383,75.7978272
HID105,HOTEL MEGHNIWAS JAIPUR,2846.58,658,26.930205,75.7881644
HID106,"LEMON TREE PREMIER, JAIPUR",2846.58,2281,26.9351975,75.7915031
HID107,MANDAWA HAVELI JAIPUR,2472.03,408,26.9224954,75.805494
HID108,HOTEL SUNDER PALACE-A HERITAGE STYLED BOUTIQUE HOTEL JAIPUR,973.83,1312,26.9168807,75.7951732
HID109,LORDS PLAZA JAIPUR,2322.21,682,26.9090308,75.8151314
HID110,HOTEL MOON LIGHT PALACE JAIPUR,599.28,530,26.9150958,75.778611
HID111,HOTEL METROPOLITAN JAIPUR,1273.47,133,26.9240465,75.7995771
HID112,DEVRAJ NIWAS (STAY WELL PLANTED) JAIPUR,2546.94,268,26.921515,75.793657
HID113,LE AMOUR INN JAIPUR,1423.29,267,26.8581821,75.7950953
HID114,HOTEL VIJAY NIWAS JAIPUR,824.01,130,26.9209051,75.8043145
HID115,DHULA GARH JAIPUR,6666.99,200,26.9305368,76.1460763
HID116,THE RAJ PALACE JAIPUR,13783.44,564,26.935455,75.833753
HID117,CLARKS INN JAIPUR,1100,170,26.9334559,75.7943062
HID118,HOTEL BHARAT PALACE JAIPUR,299.64,7,26.91667605,75.78966505
HID119,MAHAL KHANDELA A HERITAGE HOTEL & SPA JAIPUR,824.01,414,26.9319,75.788478
HID120,HEIWA HEAVEN THE RESORT JAIPUR,6741.9,400,26.9300633,75.8849302
HID121,NIRBANA PALACE A HERITAGE HOTEL AND SPA JAIPUR,2247.3,159,26.9216994,75.7947823
HID122,JAIPUR HAVELI JAIPUR,2322.21,48,26.9196626,75.8246636
HID123,HOTEL LAXMI NIWAS JAIPUR,1498.2,174,26.8883783,75.7694277
HID124,KALYAN HERITAGE AND PARADISE JAIPUR,749.1,96,26.8187996,75.8592398
HID125,VRISA JAIPUR,2771.67,128,26.8433784,75.794634
HID126,GYPSY MONKEY JAIPUR,720,120,26.9226774,75.7984322
HID127,HOTEL SUGANDH RETREAT JAIPUR,599.28,204,26.9211516,75.8025678
HID128,TRIMROOMS JAIPUR MOUNT BLUE JAIPUR,1348.38,21,26.9463372,75.8394325
HID129,THE HERITAGE VILLAGE RESORT JAIPUR,2546.94,390,26.9230965,75.7192254
HID130,OYO 1714 HOTEL RNB CITY CENTER JAIPUR,2247.3,67,26.9180815,75.79196835
HID131,SPOT ON 40724 KUKAS GUEST HOUSE JAIPUR,898.92,34,27.0088982,75.8825471
HID132,HOTEL ARCO PALACE JAIPUR,1123.65,260,26.9228217,75.7993629
HID133,HATHI MAUJA JAIPUR,3445.86,400,26.9958252,75.8827588
HID134,HOTEL IMPERIAL JAIPUR,973.83,31,26.9159266,75.8113095
HID135,RATAN NIWAS JAIPUR,524.37,105,26.9156418,75.7949142
HID136,HOTEL RAGHURAJ PALACE JAIPUR,1423.29,97,26.9374675,75.8000694
HID137,HOTEL SILVER PRIDE JAIPUR,1000,40,26.8525617,75.77943
HID138,BHOLA BHAWAN BED AND BREAKFAST JAIPUR,2621.85,285,26.911194,75.812712
HID139,FABHOTEL SAPPHIRE INN JAIPUR,1722.93,21,26.8755745,75.7499464
HID140,HOTEL POLO INN AND SUITES JAIPUR,1797.84,120,26.9133776,75.8083154
HID141,HOTEL SAPPHIRE WORLD JAIPUR,1273.47,70,26.8784518,75.7454227
HID142,HOTEL METRO INN JAIPUR,1123.65,12,26.9178929,75.7918352
HID143,OYO 2326 HOTEL STAR PLAZA JAIPUR,1123.65,40,26.9181747,75.7906055
HID144,HOTEL GRAND MAPLE JAIPUR,3071.31,350,26.782621,75.841631
HID145,HOTEL GANDHARVA A GREEN HOTEL JAIPUR,1648.02,234,26.9248395,75.8049566
HID146,HOTEL MUSKAN PALACE JAIPUR,824.01,128,26.9241704,75.7975225
HID147,KISHANPURA HAVELI JAIPUR,1947.66,10,26.92426245,75.7465906
HID148,HOTEL GOLDEN HERITAGE JAIPUR,374.55,49,26.923356,75.7921651
HID149,BANI PARK HOTEL JAIPUR,224.73,133,26.924765,75.789311
HID150,REGENTA CENTRAL JAL MAHAL JAIPUR,1722.93,150,26.9583617,75.84351
HID151,HOUSE OF BACKPACKERS JAIPUR,299.64,53,26.918728,75.8078
HID152,KHATU HAVELI JAIPUR,2621.85,244,26.9299491,75.8117547
HID153,JWALA NIKETAN JAIPUR,898.92,234,26.9199985,75.800184
HID154,JAIPUR JANTAR HOSTEL JAIPUR,1872.75,61,26.9196467,75.8052469
HID155,MOONLIGHT HOMESTAY & HOSTEL JAIPUR,898.92,43,26.91532537,75.77862173
HID156,HOTEL DIGGI PALACE JAIPUR,6500,1111,26.9099024,75.8124713
HID157,STERLING ATHARVA JAIPUR,4494.6,86,26.8797626,75.5904691
HID158,HOTEL RAYA INN JAIPUR,1573.11,388,26.9212992,75.7877042
HID159,SUNRISE HEALTH RESORT JAIPUR,2846.58,221,26.99454905,75.823778
HID160,TREEBO TREND WOODSVILLA SUITES JAIPUR,1797.84,227,26.88978,75.808804
HID161,HOTEL VIMAL HERITAGE JAIPUR,1348.38,465,26.9287399,75.785706
HID162,HOTEL SHYAM PARADISE BY TRICOLOUR HOSPITALITY JAIPUR,2097.48,88,26.8954218,75.749436
HID163,HOTEL MADHUBAN JAIPUR,1722.93,471,26.929385,75.7903596
HID164,HAVELI KALWARA JAIPUR,2322.21,127,26.9186983,75.8128345
HID165,R4 A BOUTIQUE HOTEL JAIPUR,3071.31,55,26.88521075,75.79055785
HID166,GOLDEN HOTEL JAIPUR,1498.2,290,26.9219665,75.7978807
HID167,VILLA 243 JAIPUR,2771.67,83,26.888395,75.7660865
HID168,HOTEL HAYAT RABBANI JAIPUR,749.1,177,26.9246312,75.7971233
HID169,DOONGRI HAVELI JAIPUR,973.83,47,26.9189531,75.8132255
HID170,JAIPUR HOTEL NEW JAIPUR,1573.11,43,26.9293887,75.81380235
HID171,NANUS HOSTEL JAIPUR,449.46,73,26.9246655,75.7898738
HID172,TGI APPLE INN JAIPUR,1872.75,82,26.8913112,75.7426438
HID173,RUDRA VILAS JAIPUR,2300,400,26.8337249,75.7676625
HID174,RAJ KOTHI JAIPUR,2546.94,37,26.8489522,75.8042995
HID175,LOFT 24 JAIPUR,1573.11,15,26.8723677,75.7467919
HID176,OYO 68571 NAHARGARH PALACE HOTEL JAIPUR,824.01,51,26.9348686,75.8171855
HID177,FABHOTEL THE ROYAL CM PLAZA JAIPUR,1123.65,46,26.932526,75.78736
HID178,CASTLE KANOTA JAIPUR,2546.94,500,26.872221,75.9495004
HID179,CAMELLIA A BOUTIQUE HOME JAIPUR,2022.57,300,26.9033695,75.7771034
HID180,WELCOMHERITAGE SIRSI HAVELI JAIPUR,2247.3,78,26.9096981,75.6791797
HID181,THE HERITAGE PALACE JAIPUR,1722.93,113,26.90709035,75.79316395
HID182,CLARION INN JAIPUR,2022.57,300,27.0302669,75.8950795
HID183,HOTEL THE LIVIN (LUXURY BOUTIQUE HOTEL) JAIPUR,824.01,243,26.939159,75.796813
HID184,PINK PEARL RESORT AND FUNCITY JAIPUR,1797.84,139,26.860591,75.6686362
HID185,SNEH DEEP GUEST HOUSE JAIPUR,824.01,119,26.904157,75.840226
HID186,HOTEL LAVANYA HERITAGE JAIPUR,1498.2,30,26.9208263,75.7959528
HID187,TREEBO TREND GUMAAN AUBERGE JAIPUR,1273.47,80,26.926774,75.791655
HID188,HOSTEL KARWAAN JAIPUR,1198.56,90,26.903018,75.779765
HID189,HERITAGE KHANDWA HAVELI HOTEL JAIPUR,2996.4,103,26.9440152,75.773806
HID190,HOTEL GULAB GARH JAIPUR,2022.57,39,26.933858,75.8342236
HID191,THE ASHAPURNA JAIPUR,1198.56,142,26.93597,75.798949
HID192,THE UMAID VILAS JAIPUR,4569.51,1001,26.9205,75.820409
HID193,JAIPUR SUNDECK HOSTEL JAIPUR,244,7,26.897126,75.767309
HID194,HOTEL ABHINEET PALACE JAIPUR,749.1,40,26.9181555,75.791046
HID195,HOTEL KRISHNA JAIPUR,3970.23,22,26.9044535,75.79195545
HID196,OYO 1143 HOTEL RDB PALACE JAIPUR,1123.65,130,26.924929,75.787572
HID197,ABHI ROOMS JAIPUR,749.1,8,26.9080591,75.8316761
HID198,HOTEL MAYAA MANSION JAIPUR,950,150,26.9169447,75.8039693
HID199,HOTEL HAWA MAHAL JAIPUR,1872.75,105,26.911811,75.787074
HID200,LA PREMIER SPA & RESORT JAIPUR,1198.56,65,26.97475181,75.87208766
HID201,HOTEL NANGI'S PRIDE JAIPUR,1648.02,52,26.8361265,75.8039433
HID202,THE T T PALACE JAIPUR,1722.93,36,26.9360642,75.8345998
HID203,JAIPUR CM A LUXURY BOUTIQUE HOTEL JAIPUR,749.1,246,26.9365543,75.7900159
HID204,HOTEL PARADISE JAIPUR,1198.56,345,26.9479593,75.7734752
HID205,CHITCHAT RESTAURANT & GUEST HOUSE JAIPUR,224.73,72,26.92507148,75.78949732
HID206,HOTEL SUMADITYA JAIPUR,1423.29,16,26.943674,75.7736854
HID207,UMAID FARM RESORT-A LEGACY VINTAGE STAY IN JAIPUR,112365,3000,27.061794,75.7496261
HID208,THE AMER VALLEY JAIPUR,749.1,50,26.9633884,75.8462509
HID209,HOTEL WHISPERING PALMS JAIPUR,1198.56,64,26.9701593,75.7734073
HID210,HOTEL THE ORION JAIPUR,599.28,63,26.9265653,75.7900734
HID211,ASHOK JAIPUR,3221.13,70,26.9258482,75.7942305
HID212,FABHOTEL VILLA JAIPUR VAISHALI JAIPUR,898.92,15,26.910968,75.746081
HID213,KESAR D VILLA JAIPUR,1722.93,17,26.8484246,75.8012327
HID214,HOTEL JAISINGH PALACE JAIPUR,1123.65,98,26.9186404,75.8069102
HID215,OYO 2105 HOTEL ROYAL SHERATON JAIPUR,1273.47,101,26.9304561,75.8283867
HID216,HOTEL SURYA GARH JAIPUR,3069,100,26.9368736,75.8461842
HID217,JAGRATI ANANTA EXPRESS JAIPUR,1722.93,150,26.8304731,75.7758327
HID218,PADLIA HOUSE JAIPUR,2172.39,14,26.905382,75.780854
HID219,BLUE KING (RTDC) JAIPUR,1123.65,18,26.9294762,75.7935341
HID220,FABHOTEL PADMAVATI PALACE JAIPUR,2097.48,1,26.880348,75.7514803
HID221,NILAYA JAIPUR,3000,320,26.914931,75.7482946
HID222,VIDYA VILLA JAIPUR,2846.58,26,26.9516128,75.7581643
HID223,HOTEL BIKANER HAVELI JAIPUR,2022.57,100,26.9407407,75.8364063
HID224,OYO 15359 HOTEL KANCHANDEEP JAIPUR,898.92,103,26.9207086,75.8011211
HID225,JAIPUR HOME STAY JAIPUR,1048.74,23,26.9164624,75.7641279
HID226,RAJ RAJESHWARI HAVELI JAIPUR,4045.14,300,26.924492,75.7528311
HID227,HOTEL KONARK JAIPUR,1273.47,119,26.9251192,75.8026781
HID228,BRANSON BACKPACKER HOMESTAY JAIPUR,1198.56,50,26.965494,75.754452
HID229,OYO TOWNHOUSE 051 LAL KOTHI JAIPUR,1498.2,170,26.8819155,75.7987304
HID230,THE SANEER BOUTIQUE HOTEL JAIPUR,1872.75,216,26.8445859,75.8011357
HID231,HOTEL LIBRA JAIPUR,1498.2,184,26.9469339,75.7736639
HID232,HOTEL GANGA KRIPA JAIPUR,599.28,27,26.9165079,75.7918459
HID233,AIRPORT SKY INN JAIPUR,674.19,10,26.8332577,75.8066741
HID234,KHERWADI FARM JAIPUR,4120.05,10,27.0494455,75.8192578
HID235,HOTEL NEELAM JAIPUR,1872.75,10,26.920232,75.7990302
HID236,OYO 9304 HOTEL SWASTIKA JAIPUR,1048.74,10,26.9207384,75.7968919
HID237,CLUB MAHINDRA JAIPUR,4569.51,1145,26.8996137,75.7998849
HID238,JAS VILAS JAIPUR,5018.97,987,26.9303494,75.7880161
HID239,ANGEL RESORT JAIPUR,1498.2,102,27.066656,75.75224
HID240,OM NIWAS JAIPUR,2696.76,291,26.927671,75.7859552
HID241,BUNKSTOP JAIPUR,824.01,174,26.899349,75.794642
HID242,HOTEL RAMSINGH PALACE JAIPUR,824.01,161,26.9226545,75.7984315
HID243,RAWLA RAWATSTAR JAIPUR,898.92,134,26.9253331,75.801462
HID244,ADHBHUT HOTEL JAIPUR,4344.78,110,26.9906998,75.852642
HID245,FABHOTEL DEEPAK RESIDENCY JAIPUR,1722.93,20,26.937275,75.835284
HID246,PRIDE AMBER VILAS RESORT & SPA JAIPUR,4944.06,294,26.769337,75.8374233
HID247,HOTEL SAVOY JAIPUR,1423.29,203,26.916303,75.8143161
HID248,HOTEL JAI MAA PALACE JAIPUR,1498.2,274,26.9231678,75.7921556
HID249,THE PRIME HOTEL JAIPUR,1423.29,77,26.9459207,75.8462972
HID250,COMFORT INN SAPPHIRE JAIPUR,2771.67,130,26.9177602,75.8111704
HID251,HOUSETEL JAIPUR,674.19,44,26.9060009,75.8021073
HID252,GIRISADAN HOMESTAY JAIPUR,4494.6,238,26.9125697,75.7965289
HID253,THE HOSTELLER JAIPUR,449,143,26.918242,75.799674
HID254,HOZTEL JAIPUR,150,128,26.930574,75.791244
